TradeDate,Ticker,Open,High,Low,Close,MarketHoursVolume,CumulativePriceFactor,CumulativeVolumeFactor,AdjustmentFactor,AdjustmentReason,SecId
2021-05-19 00:00:00,MSFT,239.0,243.23,238.6,243.12,24411095,1.362712615304511,1.0,0.99769623169327,CashDiv,39827
2021-05-20 00:00:00,MSFT,243.86,247.95,243.85,246.48,19744138,1.362712615304511,1.0,,,39827
2021-05-21 00:00:00,MSFT,247.72,248.32,244.74,245.17,20816069,1.362712615304511,1.0,,,39827
2021-05-24 00:00:00,MSFT,247.95,251.16,247.51,250.78,20357940,1.362712615304511,1.0,,,39827
2021-05-25 00:00:00,MSFT,251.65,252.75,250.82,251.72,16479509,1.362712615304511,1.0,,,39827
2021-05-26 00:00:00,MSFT,251.3,252.93,250.76,251.49,15092014,1.362712615304511,1.0,,,39827
2021-05-27 00:00:00,MSFT,251.18,251.45,249.25,249.31,21507484,1.362712615304511,1.0,,,39827
2021-05-28 00:00:00,MSFT,251.32,252.08,249.56,249.68,17403051,1.362712615304511,1.0,,,39827
2021-06-01 00:00:00,MSFT,251.25,251.29,246.96,247.4,21709616,1.362712615304511,1.0,,,39827
2021-06-02 00:00:00,MSFT,248.09,249.27,245.84,247.3,18854512,1.362712615304511,1.0,,,39827
2021-06-03 00:00:00,MSFT,245.18,246.34,243.0,245.71,23982191,1.362712615304511,1.0,,,39827
2021-06-04 00:00:00,MSFT,247.88,251.65,247.51,250.79,24192870,1.362712615304511,1.0,,,39827
2021-06-07 00:00:00,MSFT,249.95,254.09,249.82,253.81,21889242,1.362712615304511,1.0,,,39827
2021-06-08 00:00:00,MSFT,255.25,256.01,252.51,252.57,21331223,1.362712615304511,1.0,,,39827
2021-06-09 00:00:00,MSFT,254.01,255.53,253.21,253.59,17117627,1.362712615304511,1.0,,,39827
2021-06-10 00:00:00,MSFT,254.0,257.46,253.64,257.24,23232474,1.362712615304511,1.0,,,39827
2021-06-11 00:00:00,MSFT,258.0,258.48,256.62,257.89,18494224,1.362712615304511,1.0,,,39827
2021-06-14 00:00:00,MSFT,257.9,259.95,256.8,259.89,17024404,1.362712615304511,1.0,,,39827
2021-06-15 00:00:00,MSFT,259.82,259.99,257.68,258.36,17355432,1.362712615304511,1.0,,,39827
